Jun 03 14:13:57 ip-172-31-24-94 kubelet[4615]: I0603 14:13:57.262552    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-96dtx_default(b893993e-4cbf-47c5-b8e8-4ad434f438b1)"
Jun 03 14:13:57 ip-172-31-24-94 kubelet[4615]: I0603 14:13:57.418631    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tkx56_default(3c408c58-40a2-4bec-81f0-acbdc108ad3b)"
Jun 03 14:13:57 ip-172-31-24-94 kubelet[4615]: I0603 14:13:57.423778    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-6f6mt_default(fef91735-6c97-45e2-8348-79fc73b96f1a)"
Jun 03 14:13:57 ip-172-31-24-94 kubelet[4615]: I0603 14:13:57.476378    4615 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-fvm9d_default(ee920b67-fb60-4125-8b97-28a56b411aaf)"
Jun 03 14:13:59 ip-172-31-24-94 kubelet[4615]: I0603 14:13:59.509375    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-96dtx_default"
Jun 03 14:13:59 ip-172-31-24-94 kubelet[4615]: I0603 14:13:59.909265    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-6f6mt_default"
Jun 03 14:13:59 ip-172-31-24-94 kubelet[4615]: I0603 14:13:59.915631    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tkx56_default"
Jun 03 14:13:59 ip-172-31-24-94 kubelet[4615]: I0603 14:13:59.931312    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.70] for pod "acmeair-flightservice-76d48bfb54-96dtx_default(b893993e-4cbf-47c5-b8e8-4ad434f438b1)" after sandbox changed
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.022598    4615 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-fvm9d_default"
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.206172    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-96dtx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.256768    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.71] for pod "acmeair-flightservice-76d48bfb54-tkx56_default(3c408c58-40a2-4bec-81f0-acbdc108ad3b)" after sandbox changed
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.302472    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.72] for pod "acmeair-flightservice-76d48bfb54-6f6mt_default(fef91735-6c97-45e2-8348-79fc73b96f1a)" after sandbox changed
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.418652    4615 kuberuntime_manager.go:782] Determined the ip [100.124.202.73] for pod "acmeair-flightservice-76d48bfb54-fvm9d_default(ee920b67-fb60-4125-8b97-28a56b411aaf)" after sandbox changed
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.546137    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tkx56" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.574185    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-6f6mt" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:14:00 ip-172-31-24-94 kubelet[4615]: I0603 14:14:00.725254    4615 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-fvm9d" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:57 ip-172-31-25-1 kubelet[4618]: I0603 14:13:57.330558    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7vvkc_default(f6e0587a-b2b8-4cb2-bc5b-82dfbd9d110d)"
Jun 03 14:13:57 ip-172-31-25-1 kubelet[4618]: I0603 14:13:57.423399    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-lbwfs_default(803b1ccd-059d-4fe7-a956-258d3a8d40ff)"
Jun 03 14:13:57 ip-172-31-25-1 kubelet[4618]: I0603 14:13:57.455107    4618 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-vrvzx_default(f4442118-baab-4d6b-a724-0ecb7bc30df5)"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.062220    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7vvkc_default"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.168721    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-vrvzx_default"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.199386    4618 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-lbwfs_default"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.305534    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.133] for pod "acmeair-flightservice-76d48bfb54-7vvkc_default(f6e0587a-b2b8-4cb2-bc5b-82dfbd9d110d)" after sandbox changed
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.438519    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.134] for pod "acmeair-flightservice-76d48bfb54-vrvzx_default(f4442118-baab-4d6b-a724-0ecb7bc30df5)" after sandbox changed
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.519479    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-7vvkc" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.565152    4618 kuberuntime_manager.go:782] Determined the ip [100.96.147.135] for pod "acmeair-flightservice-76d48bfb54-lbwfs_default(803b1ccd-059d-4fe7-a956-258d3a8d40ff)" after sandbox changed
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.691872    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-vrvzx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:58 ip-172-31-25-1 kubelet[4618]: I0603 14:13:58.803492    4618 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-lbwfs" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 14:13:57 ip-172-31-29-81 kubelet[4634]: I0603 14:13:57.354904    4634 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-4t7z6_default(81e816d2-8198-41d7-89fa-cb95118b4e08)"
