Jun 03 12:00:47 ip-172-31-26-112 kubelet[4426]: I0603 12:00:47.748748    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-j5xv6_default(6146b66d-a81d-41ce-a374-f66d82e5ce51)"
Jun 03 12:00:47 ip-172-31-26-112 kubelet[4426]: I0603 12:00:47.895008    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-grwxr_default(e2ed128f-2348-4c5a-aeb0-db82e86da5f5)"
Jun 03 12:00:47 ip-172-31-26-112 kubelet[4426]: I0603 12:00:47.981074    4426 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-4q6cp_default(84dee050-e907-4879-8ca1-2ef106cf13e4)"
Jun 03 12:00:48 ip-172-31-26-112 kubelet[4426]: I0603 12:00:48.481544    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-j5xv6_default"
Jun 03 12:00:48 ip-172-31-26-112 kubelet[4426]: I0603 12:00:48.661889    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-grwxr_default"
Jun 03 12:00:48 ip-172-31-26-112 kubelet[4426]: I0603 12:00:48.761223    4426 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-4q6cp_default"
Jun 03 12:00:48 ip-172-31-26-112 kubelet[4426]: I0603 12:00:48.948332    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.82] for pod "acmeair-flightservice-76d48bfb54-j5xv6_default(6146b66d-a81d-41ce-a374-f66d82e5ce51)" after sandbox changed
Jun 03 12:00:48 ip-172-31-26-112 kubelet[4426]: I0603 12:00:48.975471    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.99] for pod "acmeair-flightservice-76d48bfb54-grwxr_default(e2ed128f-2348-4c5a-aeb0-db82e86da5f5)" after sandbox changed
Jun 03 12:00:49 ip-172-31-26-112 kubelet[4426]: I0603 12:00:49.191989    4426 kuberuntime_manager.go:782] Determined the ip [100.96.1.96] for pod "acmeair-flightservice-76d48bfb54-4q6cp_default(84dee050-e907-4879-8ca1-2ef106cf13e4)" after sandbox changed
Jun 03 12:00:49 ip-172-31-26-112 kubelet[4426]: I0603 12:00:49.255492    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-j5xv6" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 12:00:49 ip-172-31-26-112 kubelet[4426]: I0603 12:00:49.276754    4426 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-grwxr" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
