Jun 03 15:00:19 ip-172-31-17-97 kubelet[4436]: I0603 15:00:19.206925    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-6fkcj_default(05d2b406-7622-475e-b7ba-597f9e559260)"
Jun 03 15:00:19 ip-172-31-17-97 kubelet[4436]: I0603 15:00:19.250240    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-xlm6j_default(cf3059f9-b9c8-4157-b82b-d9c0ee1a7670)"
Jun 03 15:00:19 ip-172-31-17-97 kubelet[4436]: I0603 15:00:19.283238    4436 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-fmclj_default(2ff222a3-c3dd-4e46-b75a-9fb9a090a482)"
Jun 03 15:00:19 ip-172-31-17-97 kubelet[4436]: I0603 15:00:19.958756    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-xlm6j_default"
Jun 03 15:00:19 ip-172-31-17-97 kubelet[4436]: I0603 15:00:19.965403    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-6fkcj_default"
Jun 03 15:00:19 ip-172-31-17-97 kubelet[4436]: I0603 15:00:19.987714    4436 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-fmclj_default"
Jun 03 15:00:20 ip-172-31-17-97 kubelet[4436]: I0603 15:00:20.099174    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.8] for pod "acmeair-flightservice-76d48bfb54-6fkcj_default(05d2b406-7622-475e-b7ba-597f9e559260)" after sandbox changed
Jun 03 15:00:20 ip-172-31-17-97 kubelet[4436]: I0603 15:00:20.105150    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.7] for pod "acmeair-flightservice-76d48bfb54-xlm6j_default(cf3059f9-b9c8-4157-b82b-d9c0ee1a7670)" after sandbox changed
Jun 03 15:00:20 ip-172-31-17-97 kubelet[4436]: I0603 15:00:20.132512    4436 kuberuntime_manager.go:782] Determined the ip [100.96.1.9] for pod "acmeair-flightservice-76d48bfb54-fmclj_default(2ff222a3-c3dd-4e46-b75a-9fb9a090a482)" after sandbox changed
Jun 03 15:00:20 ip-172-31-17-97 kubelet[4436]: I0603 15:00:20.364568    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-fmclj" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-17-97 kubelet[4436]: I0603 15:00:20.369024    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-xlm6j" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-17-97 kubelet[4436]: I0603 15:00:20.391607    4436 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-6fkcj" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:19 ip-172-31-21-16 kubelet[4419]: I0603 15:00:19.191829    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-5bxpm_default(503618d6-f77a-4bc1-bcf1-8b04e9175b0f)"
Jun 03 15:00:19 ip-172-31-21-16 kubelet[4419]: I0603 15:00:19.225364    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-fbr9f_default(2295d9be-00b0-484c-8d6d-c5883208ef50)"
Jun 03 15:00:19 ip-172-31-21-16 kubelet[4419]: I0603 15:00:19.276565    4419 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-trnms_default(9d1d61ee-e66b-496f-b738-bd5f55e6686a)"
Jun 03 15:00:19 ip-172-31-21-16 kubelet[4419]: I0603 15:00:19.983726    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-5bxpm_default"
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.013262    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-trnms_default"
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.023037    4419 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-fbr9f_default"
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.102117    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.7] for pod "acmeair-flightservice-76d48bfb54-5bxpm_default(503618d6-f77a-4bc1-bcf1-8b04e9175b0f)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.125194    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.8] for pod "acmeair-flightservice-76d48bfb54-fbr9f_default(2295d9be-00b0-484c-8d6d-c5883208ef50)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.148900    4419 kuberuntime_manager.go:782] Determined the ip [100.96.3.9] for pod "acmeair-flightservice-76d48bfb54-trnms_default(9d1d61ee-e66b-496f-b738-bd5f55e6686a)" after sandbox changed
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.345652    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-fbr9f" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.353073    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-5bxpm" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:20 ip-172-31-21-16 kubelet[4419]: I0603 15:00:20.374694    4419 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-trnms" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 15:00:19 ip-172-31-21-224 kubelet[4433]: I0603 15:00:19.165852    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-9l2tg_default(1bbb232e-1b0e-401d-927f-fae42fc99ede)"
Jun 03 15:00:19 ip-172-31-21-224 kubelet[4433]: I0603 15:00:19.225208    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7pxfg_default(15c62bd3-9992-4b89-950b-13cdaac947c7)"
Jun 03 15:00:19 ip-172-31-21-224 kubelet[4433]: I0603 15:00:19.250896    4433 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-84jqw_default(9eee7ece-905d-4a21-8423-7c5b8c9b985f)"
