Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.145827    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-h7kqd_default(0040d2b2-ce7e-47e3-a4dd-7f9be91645ba)"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.221288    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-f65l9_default(4c92f616-1291-4105-84d6-d861a62ba5fd)"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.223445    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-w2mvw_default(2f67107a-8f28-4f4c-9318-04253f11aeb9)"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.271351    4424 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-zjmkw_default(73f536df-e5cc-4b88-b036-370b73a9bf4b)"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.955002    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-h7kqd_default"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.979602    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-w2mvw_default"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.981114    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-zjmkw_default"
Jun 03 16:40:38 ip-172-31-18-31 kubelet[4424]: I0603 16:40:38.981461    4424 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-f65l9_default"
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.105954    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.12] for pod "acmeair-flightservice-76d48bfb54-h7kqd_default(0040d2b2-ce7e-47e3-a4dd-7f9be91645ba)" after sandbox changed
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.148246    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.13] for pod "acmeair-flightservice-76d48bfb54-w2mvw_default(2f67107a-8f28-4f4c-9318-04253f11aeb9)" after sandbox changed
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.160032    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.14] for pod "acmeair-flightservice-76d48bfb54-zjmkw_default(73f536df-e5cc-4b88-b036-370b73a9bf4b)" after sandbox changed
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.167736    4424 kuberuntime_manager.go:782] Determined the ip [100.96.2.15] for pod "acmeair-flightservice-76d48bfb54-f65l9_default(4c92f616-1291-4105-84d6-d861a62ba5fd)" after sandbox changed
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.369593    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-h7kqd" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.420235    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-f65l9" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.482513    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-w2mvw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-18-31 kubelet[4424]: I0603 16:40:39.499132    4424 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-zjmkw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:38 ip-172-31-24-242 kubelet[4430]: I0603 16:40:38.182510    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-4t5vn_default(ede87bd6-73a5-4cf2-93f9-e07eb753c16a)"
Jun 03 16:40:38 ip-172-31-24-242 kubelet[4430]: I0603 16:40:38.226851    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-tswh6_default(5a133808-87c5-4b5a-bbfc-5d5d4d4c1ae1)"
Jun 03 16:40:38 ip-172-31-24-242 kubelet[4430]: I0603 16:40:38.253991    4430 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-7xwvw_default(e52acbaf-3b59-4a88-8fb7-23969a254c8e)"
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.508914    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-7xwvw_default"
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.510271    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-tswh6_default"
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.662074    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.15] for pod "acmeair-flightservice-76d48bfb54-tswh6_default(5a133808-87c5-4b5a-bbfc-5d5d4d4c1ae1)" after sandbox changed
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.671261    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.16] for pod "acmeair-flightservice-76d48bfb54-7xwvw_default(e52acbaf-3b59-4a88-8fb7-23969a254c8e)" after sandbox changed
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.848979    4430 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-4t5vn_default"
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.916037    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-7xwvw" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.920672    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-tswh6" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:39 ip-172-31-24-242 kubelet[4430]: I0603 16:40:39.991534    4430 kuberuntime_manager.go:782] Determined the ip [100.96.1.17] for pod "acmeair-flightservice-76d48bfb54-4t5vn_default(ede87bd6-73a5-4cf2-93f9-e07eb753c16a)" after sandbox changed
Jun 03 16:40:40 ip-172-31-24-242 kubelet[4430]: I0603 16:40:40.229171    4430 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-4t5vn" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 16:40:38 ip-172-31-26-125 kubelet[4429]: I0603 16:40:38.204198    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-58vrr_default(94da3eaa-f25e-49dc-8392-320110fccec2)"
Jun 03 16:40:38 ip-172-31-26-125 kubelet[4429]: I0603 16:40:38.249745    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-2s9vg_default(8f5f5bd3-9615-4faf-af0c-836c4e2705ab)"
