Jun 03 17:49:08 ip-172-31-18-222 kubelet[4429]: I0603 17:49:08.401511    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-klkzx_default(9a0d8619-fcf9-4d18-8977-6288a0e255fa)"
Jun 03 17:49:08 ip-172-31-18-222 kubelet[4429]: I0603 17:49:08.476217    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-znx78_default(ff7768cc-421a-46d8-a3b4-ccbdd9042b60)"
Jun 03 17:49:08 ip-172-31-18-222 kubelet[4429]: I0603 17:49:08.511943    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-2ngnj_default(e8262040-cb8f-48a7-9d5f-06a402a5baf9)"
Jun 03 17:49:08 ip-172-31-18-222 kubelet[4429]: I0603 17:49:08.564274    4429 config.go:383] Receiving a new pod "acmeair-flightservice-76d48bfb54-6fqwx_default(0981caf5-cef9-4b01-8331-277d04dfb74c)"
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.156543    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-klkzx_default"
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.338291    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-2ngnj_default"
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.369527    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-6fqwx_default"
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.377822    4429 plugins.go:417] Calling network plugin cni to set up pod "acmeair-flightservice-76d48bfb54-znx78_default"
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.420400    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.1] for pod "acmeair-flightservice-76d48bfb54-klkzx_default(9a0d8619-fcf9-4d18-8977-6288a0e255fa)" after sandbox changed
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.602684    4429 event.go:291] "Event occurred" object="default/acmeair-flightservice-76d48bfb54-klkzx" kind="Pod" apiVersion="v1" type="Normal" reason="Started" message="Started container acmeair-flightservice-java"
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.617132    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.2] for pod "acmeair-flightservice-76d48bfb54-2ngnj_default(e8262040-cb8f-48a7-9d5f-06a402a5baf9)" after sandbox changed
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.686319    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.4] for pod "acmeair-flightservice-76d48bfb54-6fqwx_default(0981caf5-cef9-4b01-8331-277d04dfb74c)" after sandbox changed
Jun 03 17:49:09 ip-172-31-18-222 kubelet[4429]: I0603 17:49:09.705399    4429 kuberuntime_manager.go:782] Determined the ip [100.104.0.3] for pod "acmeair-flightservice-76d48bfb54-znx78_default(ff7768cc-421a-46d8-a3b4-ccbdd9042b60)" after sandbox changed
